ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
KAIAPÓ DO PARÁ;13;2012;5473;5482
AMAPÁ E NORTE DO PARÁ;2;2012;11189;11192
PARINTINS;22;2012;14097;14335
ALTO RIO JURUÁ;4;2012;16773;16933
ARAGUAIA;8;2012;4792;4964
GUAMÁ-TOCANTINS;18;2012;21462;22745
RIO TAPAJÓS;27;2012;11091;11302
INTERIOR SUL;36;2012;55082;57109
ALTO RIO NEGRO;6;2012;36370;36856
XINGU;32;2012;6786;6803
LITORAL SUL;35;2012;15797;16429
VILHENA;30;2012;7255;7768
MATO GROSSO DO SUL;20;2012;92606;94056
BAHIA;9;2012;43931;46710
PERNAMBUCO;23;2012;62793;65013
TOCANTINS;29;2012;11551;12238
ALTO RIO PURUS;5;2012;13833;14266
YANOMAMI;33;2012;24672;24673
ALTAMIRA;3;2012;3665;4304
ALAGOAS E SERGIPE;1;2012;17948;20388
PORTO VELHO;24;2012;11478;12117
MINAS GERAIS E ESPÍRITO SANTO;11;2012;19133;20787
MÉDIO RIO PURUS;21;2013;10171;10948
MARANHÃO;19;2013;41351;42457
POTIGUARA;25;2013;25391;29472
VALE DO JAVARI;12;2013;5693;5708
LESTE DE RORAIMA;15;2013;63565;64524
ALTO RIO SOLIMÕES;7;2013;68353;68902
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2013;22595;23256
KAIAPÓ DO MATO GROSSO;34;2013;6160;6215
YANOMAMI;33;2013;25822;25823
CEARÁ;10;2013;33528;35955
XAVANTE;31;2013;19610;19619
CUIABÁ;26;2013;9577;9847
MANAUS;17;2013;39480;41259
KAIAPÓ DO PARÁ;13;2013;5682;5691
AMAPÁ E NORTE DO PARÁ;2;2013;11578;11581
PARINTINS;22;2013;14628;14869
ALTO RIO JURUÁ;4;2013;17363;17523
ARAGUAIA;8;2013;4975;5147
GUAMÁ-TOCANTINS;18;2013;22154;23445
RIO TAPAJÓS;27;2013;11526;11739
ALTO RIO NEGRO;6;2013;37366;37866
INTERIOR SUL;36;2013;56579;58630
XINGU;32;2013;7050;7067
LITORAL SUL;35;2013;16164;16798
VILHENA;30;2013;7505;8023
MATO GROSSO DO SUL;20;2013;95099;96557
BAHIA;9;2013;44638;47428
TOCANTINS;29;2013;12067;12755
PERNAMBUCO;23;2013;63587;65822
ALTO RIO PURUS;5;2013;14431;14870
ALTAMIRA;3;2013;3833;4485
PORTO VELHO;24;2013;11835;12477
ALAGOAS E SERGIPE;1;2013;18275;20719
MINAS GERAIS E ESPÍRITO SANTO;11;2013;19655;21321
KAIAPÓ DO MATO GROSSO;34;2014;6348;6403
MÉDIO RIO PURUS;21;2014;10482;11265
MARANHÃO;19;2014;42561;43677
VALE DO JAVARI;12;2014;5939;5954
LESTE DE RORAIMA;15;2014;65662;66630
POTIGUARA;25;2014;25916;30005
ALTO RIO SOLIMÕES;7;2014;70800;71357
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2014;23445;24109
ALTO RIO PURUS;5;2014;14986;15426
YANOMAMI;33;2014;26890;26891
CEARÁ;10;2014;34149;36576
CUIABÁ;26;2014;9832;10107
XAVANTE;31;2014;20482;20491
MANAUS;17;2014;40531;42348
KAIAPÓ DO PARÁ;13;2014;5849;5858
AMAPÁ E NORTE DO PARÁ;2;2014;11990;11993
PARINTINS;22;2014;15164;15407
ARAGUAIA;8;2014;5149;5323
ALTO RIO JURUÁ;4;2014;17969;18131
GUAMÁ-TOCANTINS;18;2014;22869;24164
RIO TAPAJÓS;27;2014;11984;12200
INTERIOR SUL;36;2014;57986;60054
ALTO RIO NEGRO;6;2014;38388;38899
XINGU;32;2014;7292;7309
LITORAL SUL;35;2014;16525;17161
VILHENA;30;2014;7819;8340
MATO GROSSO DO SUL;20;2014;97483;98951
BAHIA;9;2014;45259;48054
TOCANTINS;29;2014;12506;13194
PERNAMBUCO;23;2014;64144;66388
ALAGOAS E SERGIPE;1;2014;18588;21036
ALTAMIRA;3;2014;4020;4677
MINAS GERAIS E ESPÍRITO SANTO;11;2014;20177;21863
PORTO VELHO;24;2014;12212;12854
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2015;24331;24999
KAIAPÓ DO MATO GROSSO;34;2015;6558;6613
MÉDIO RIO PURUS;21;2015;10793;11583
VALE DO JAVARI;12;2015;6166;6181
MARANHÃO;19;2015;43982;45108
POTIGUARA;25;2015;26444;30537
LESTE DE RORAIMA;15;2015;67874;68853
ALTO RIO SOLIMÕES;7;2015;73483;74046
ALTO RIO PURUS;5;2015;15577;16021
PERNAMBUCO;23;2015;64800;67054
YANOMAMI;33;2015;28147;28148
CEARÁ;10;2015;34807;37234
XAVANTE;31;2015;21318;21327
CUIABÁ;26;2015;10081;10359
MANAUS;17;2015;41544;43390
KAIAPÓ DO PARÁ;13;2015;6047;6056
AMAPÁ E NORTE DO PARÁ;2;2015;12354;12357
ALTO RIO JURUÁ;4;2015;18504;18667
PARINTINS;22;2015;15738;15982
ARAGUAIA;8;2015;5330;5504
GUAMÁ-TOCANTINS;18;2015;23581;24887
RIO TAPAJÓS;27;2015;12479;12697
INTERIOR SUL;36;2015;59551;61641
ALTO RIO NEGRO;6;2015;39313;39833
XINGU;32;2015;7560;7577
LITORAL SUL;35;2015;16929;17569
MATO GROSSO DO SUL;20;2015;99779;101260
VILHENA;30;2015;8082;8605
BAHIA;9;2015;45880;48676
TOCANTINS;29;2015;13012;13703
ALAGOAS E SERGIPE;1;2015;18934;21385
ALTAMIRA;3;2015;4213;4876
PORTO VELHO;24;2015;12539;13184
MINAS GERAIS E ESPÍRITO SANTO;11;2015;20691;22389
ALTO RIO SOLIMÕES;7;2016;76202;76776
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2016;25132;25806
KAIAPÓ DO MATO GROSSO;34;2016;6762;6818
MÉDIO RIO PURUS;21;2016;11089;11885
MARANHÃO;19;2016;45397;46527
POTIGUARA;25;2016;27004;31101
VALE DO JAVARI;12;2016;6399;6414
LESTE DE RORAIMA;15;2016;70068;71066
TOCANTINS;29;2016;13485;14178
PERNAMBUCO;23;2016;65389;67654
ALTO RIO PURUS;5;2016;16139;16586
YANOMAMI;33;2016;29420;29421
